id;quantity;disease;diseaseOnRoot;diseaseOnTrunk;diseaseOnCollar;diseaseOnCrown;idDisease;vigor;environmentBusyness;sidewalkProximity;isLast;diagnosisNote;developmentStatus;coord_x;coord_y;idDiagnosisYear;idSpecies;idSeedingYear;idStumpDiameter
15;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1912687.9;4222887.5;2015;Unknown;2004;20 à 30 cm
16;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre jeune;1913312.0;4223589.0;2015;styraciflua;2004;10 à 20 cm
17;1;0;0;0;0;0;xxxx;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914993.6;4222813.0;2013;pseudoplatanus;2004;20 à 30 cm
18;1;1;0;1;0;0;xTxx;vieillissement dépérissement;passages fréquents et arrêts fréquents;non;true;Arbre à abattre dans les 5 ans;Arbre adulte;1914017.1;4222361.0;2015;japonica;2004;20 à 30 cm
19;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1914384.8;4223660.0;2013;retusus;2009;0 à 10 cm
20;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1913628.9;4222635.5;2013;acerifolia;2004;30 à 40 cm
21;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir incertain;Arbre vieillissant;1915539.4;4224585.0;2015;nigra;2006;110 à 120 cm
22;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1912829.6;4221453.5;2014;verrucosa;2004;0 à 10 cm
23;1;0;0;0;0;0;xxxx;vigueur intermédiaire;passages fréquents ou arrêts;non;true;Arbre d'avenir incertain;Arbre adulte;1914904.8;4222666.5;2013;nigra;2004;30 à 40 cm
24;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914819.9;4223842.5;2013;tomentosa;2004;30 à 40 cm
25;1;1;0;0;0;1;xxxK;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1914295.4;4224064.5;2014;pseudoplatanus;2004;10 à 20 cm
26;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914295.0;4223282.5;2013;arizonica;2004;40 à 50 cm
27;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1913808.2;4223133.5;2014;acerifolia;2004;100 à 110 cm
28;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915031.6;4224841.0;2015;nigra;2004;20 à 30 cm
29;1;1;0;1;0;0;xTxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1913321.4;4224510.5;2014;cordata;2004;10 à 20 cm
30;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915342.6;4225711.0;2014;tulipifera;2004;40 à 50 cm
31;1;0;0;0;0;0;xxxx;Unknown;quelques passages;non;true;Arbre d'avenir incertain;Arbre adulte;1915907.1;4223808.5;2013;nigra;2004;30 à 40 cm
32;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914093.6;4221349.5;2014;acerifolia;2004;30 à 40 cm
33;1;0;0;0;0;0;xxxx;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1913003.9;4223022.5;2014;carica;2004;10 à 20 cm
34;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912626.5;4222020.0;2013;japonica;2004;70 à 80 cm
35;1;1;0;1;0;0;xTxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914710.9;4221660.5;2015;siliquastrum;2004;10 à 20 cm
36;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915106.1;4224950.5;2014;betulus;2004;40 à 50 cm
37;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1913007.5;4223050.0;2014;nigra;2004;30 à 40 cm
38;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1912627.6;4221726.5;2013;australis;2009;10 à 20 cm
39;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914856.9;4220763.5;2014;nigra;2004;20 à 30 cm
40;1;1;0;1;0;0;xTxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1912694.5;4222887.0;2015;Unknown;2005;10 à 20 cm
41;1;1;0;0;0;1;xxxK;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915194.0;4222790.0;2015;styraciflua;2004;20 à 30 cm
42;1;1;0;1;0;1;xTxK;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1915132.8;4222080.0;2015;campestris;2004;10 à 20 cm
43;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912778.9;4222138.5;2015;altissima;2004;30 à 40 cm
44;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1913695.1;4223040.0;2013;japonica;2004;20 à 30 cm
45;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1915239.5;4222561.5;2015;styraciflua;2004;20 à 30 cm
46;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre jeune;1912496.5;4224218.0;2014;floribunda;2014;10 à 20 cm
47;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912598.1;4223042.0;2014;platanoides;2004;30 à 40 cm
48;1;0;0;0;0;0;xxxx;vigoureux;quelques passages;non;true;Arbre d'avenir normal;Arbre jeune;1915932.8;4223819.5;2013;sempervirens;2004;0 à 10 cm
49;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912607.5;4221691.5;2013;pseudoacacia;2004;50 à 60 cm
50;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1915003.9;4224632.5;2013;acerifolia;2004;10 à 20 cm
51;1;1;0;1;1;1;xTCK;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912628.0;4221910.0;2013;pseudoplatanus;2004;60 à 70 cm
52;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914878.8;4222274.0;2013;tomentosa;2004;50 à 60 cm
53;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914989.5;4222409.5;2013;acerifolia;2004;80 à 90 cm
54;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre adulte;1914968.2;4222479.5;2013;baccata;2004;10 à 20 cm
55;1;1;0;0;0;1;xxxK;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1913341.5;4224210.0;2015;tomentosa;2004;10 à 20 cm
56;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914742.9;4225237.5;2014;acerifolia;2004;50 à 60 cm
57;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912522.9;4223685.5;2015;saccharinum;2004;50 à 60 cm
58;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914650.4;4223477.0;2014;saccharinum;2004;20 à 30 cm
59;1;1;1;1;1;1;RTCK;vieillissement dépérissement;passages fréquents et arrêts fréquents;oui;true;Arbre à abattre dans les 10 ans;Arbre vieillissant;1913524.5;4225157.0;2015;acerifolia;2004;80 à 90 cm
60;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1915557.1;4223183.5;2015;tomentosa;2004;20 à 30 cm
61;1;1;1;0;1;1;RxCK;vigoureux;passages fréquents ou arrêts;non;true;Arbre à abattre dans les 10 ans;Arbre vieillissant;1914804.5;4225363.0;2015;pseudoplatanus;2004;80 à 90 cm
62;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1915682.8;4223114.0;2013;americana;2004;10 à 20 cm
63;1;1;0;1;0;0;xTxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912532.0;4223589.5;2014;bombycis;2004;20 à 30 cm
64;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;oui;true;Arbre d'avenir normal;Arbre jeune;1913683.2;4224699.0;2014;platanor;2014;10 à 20 cm
65;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912427.5;4222673.0;2015;acerifolia;2004;50 à 60 cm
66;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1915138.9;4221454.0;2015;pseudoacacia;2004;10 à 20 cm
67;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;oui;true;Arbre d'avenir normal;Arbre jeune;1914313.5;4222052.0;2014;ornus;2014;10 à 20 cm
68;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1913124.1;4221907.5;2013;acerifolia;2004;40 à 50 cm
69;1;1;0;1;0;0;xTxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1912585.9;4221370.5;2014;cordata;2004;20 à 30 cm
70;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1912436.4;4222158.0;2013;platanoides;2004;50 à 60 cm
71;1;1;1;0;0;1;RxxK;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915279.4;4223101.5;2014;robur;2004;50 à 60 cm
72;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915516.8;4222360.0;2014;excelsior;2004;50 à 60 cm
73;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre jeune;1912995.9;4223212.5;2015;domestica;2015;10 à 20 cm
74;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1913646.6;4223009.0;2013;japonica;2004;30 à 40 cm
75;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;oui;true;Arbre d'avenir normal;Arbre jeune;1913459.8;4223727.5;2014;cappadocicum;2014;10 à 20 cm
76;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912976.0;4225832.5;2013;australis;2004;30 à 40 cm
77;1;1;0;0;1;0;xxCx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1914569.5;4222108.0;2015;cappadocicum;2008;10 à 20 cm
78;1;1;0;0;0;1;xxxK;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre à abattre dans les 10 ans;Arbre adulte;1915546.4;4224995.5;2015;lawsoniana;2004;30 à 40 cm
79;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914499.0;4221732.5;2013;acerifolia;2004;30 à 40 cm
80;1;1;0;0;1;0;xxCx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1913996.1;4221963.5;2015;serrulata;2005;10 à 20 cm
81;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914941.0;4222444.0;2015;styraciflua;2004;10 à 20 cm
82;1;1;0;1;0;0;xTxx;vieillissement dépérissement;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1913059.2;4225714.0;2014;nigra;2004;30 à 40 cm
83;1;1;1;0;0;0;Rxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914421.4;4223824.0;2013;tomentosa;2004;50 à 60 cm
84;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912489.9;4222689.0;2013;acerifolia;2004;30 à 40 cm
85;1;0;0;0;0;0;xxxx;vigueur intermédiaire;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1915564.2;4222279.0;2013;acerifolia;2004;30 à 40 cm
86;1;1;0;0;0;1;xxxK;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1914693.9;4225193.5;2014;acerifolia;2004;70 à 80 cm
87;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre jeune;1912087.0;4226322.5;2014;tulipifera;2014;10 à 20 cm
88;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1912994.5;4225530.5;2014;acerifolia;2004;40 à 50 cm
89;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1915265.4;4222820.0;2015;hippocastanum;2011;30 à 40 cm
90;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915527.0;4222802.5;2015;cappadocicum;2004;10 à 20 cm
91;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre jeune;1912061.2;4226357.5;2014;sylvestris;2014;10 à 20 cm
92;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914218.2;4222207.5;2015;utilis;2011;10 à 20 cm
93;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre adulte;1914843.9;4222334.0;2013;excelsior;2004;40 à 50 cm
94;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912768.4;4222131.5;2015;altissima;2004;30 à 40 cm
95;1;0;0;0;0;0;xxxx;vigueur intermédiaire;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1915496.6;4222684.5;2014;platanoides;2004;10 à 20 cm
96;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912831.9;4221872.5;2013;serrulata;2004;20 à 30 cm
97;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1915153.9;4225734.5;2014;styraciflua;2004;30 à 40 cm
98;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre jeune;1913271.6;4223596.5;2015;verrucosa;2004;10 à 20 cm
99;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912821.0;4224997.0;2013;japonica;2004;20 à 30 cm
100;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1915010.4;4222514.5;2013;pseudoacacia;2004;60 à 70 cm
101;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1914004.0;4221964.0;2015;campestre;2005;20 à 30 cm
102;1;0;0;0;0;0;xxxx;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914085.2;4223010.5;2013;nigra;2012;20 à 30 cm
103;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914718.2;4225375.5;2014;grandiflora;2011;20 à 30 cm
104;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1913958.2;4224593.0;2013;hippocastanum;2004;30 à 40 cm
105;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir incertain;Arbre adulte;1913745.6;4225219.5;2015;indica;2004;0 à 10 cm
106;1;1;0;0;0;1;xxxK;vieillissement dépérissement;passages fréquents et arrêts fréquents;oui;true;Arbre à abattre immédiatement;Arbre adulte;1912699.6;4223197.0;2015;platanoides;2004;30 à 40 cm
107;1;1;0;1;0;0;xTxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915017.9;4225600.5;2014;styraciflua;2004;20 à 30 cm
108;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914522.2;4223970.5;2015;tulipifera;2004;10 à 20 cm
109;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912726.8;4221733.5;2013;cordata;2004;40 à 50 cm
110;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;oui;true;Arbre d'avenir normal;Arbre adulte;1912370.2;4222187.0;2015;excelsior;2004;10 à 20 cm
111;1;1;0;1;0;0;xTxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir incertain;Arbre adulte;1914162.0;4224742.0;2015;platyphyllos;2004;20 à 30 cm
112;1;0;0;0;0;0;xxxx;vigueur intermédiaire;passages fréquents ou arrêts;non;true;Arbre d'avenir incertain;Arbre adulte;1915551.2;4222832.5;2015;siliquastrum;2004;20 à 30 cm
113;1;1;1;0;1;0;RxCx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir incertain;Arbre adulte;1913760.8;4223632.5;2015;lawsoniana;2004;20 à 30 cm
114;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915024.1;4225067.5;2014;verrucosa;2004;20 à 30 cm
115;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912471.9;4223747.5;2013;cordata;2004;20 à 30 cm
116;1;1;0;1;0;0;xTxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre jeune;1915480.1;4222686.0;2014;hippocastanum;2004;10 à 20 cm
117;1;1;0;1;0;0;xTxx;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1914886.8;4223884.5;2015;exelsa;2004;40 à 50 cm
118;1;1;0;1;0;1;xTxK;vigueur intermédiaire;passages fréquents ou arrêts;non;true;Arbre d'avenir incertain;Arbre adulte;1914821.6;4222271.5;2015;saccharinum;2004;30 à 40 cm
119;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre adulte;1915353.2;4224671.0;2015;betulus;2004;10 à 20 cm
120;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914940.5;4224399.0;2013;acerifolia;2004;80 à 90 cm
121;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1912936.4;4225004.5;2015;tomentosa;2004;20 à 30 cm
122;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1914328.5;4224007.5;2015;pseudoplatanus;2004;10 à 20 cm
123;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1914181.8;4221773.5;2015;nigra;2004;20 à 30 cm
124;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1914963.5;4223312.0;2014;acerifolia;2004;0 à 10 cm
125;1;1;0;1;0;0;xTxx;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1914460.1;4223968.5;2015;grandiflora;2004;20 à 30 cm
126;1;1;0;1;0;0;xTxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1912497.0;4222617.5;2015;triacanthos;2004;30 à 40 cm
127;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1913893.9;4224649.5;2013;tomentosa;2004;20 à 30 cm
128;1;1;0;1;1;0;xTCx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir incertain;Arbre jeune;1912514.9;4223537.0;2015;styraciflua;2009;0 à 10 cm
129;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915366.1;4225727.0;2014;verrucosa;2004;20 à 30 cm
130;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre adulte;1913341.2;4223503.5;2013;occidentalis;2004;40 à 50 cm
131;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre adulte;1913333.1;4223470.5;2013;australis;2004;50 à 60 cm
132;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre jeune;1912774.0;4221991.5;2014;babylonica;2014;10 à 20 cm
133;1;1;0;1;0;0;xTxx;vigueur intermédiaire;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir incertain;Arbre adulte;1913925.0;4221682.0;2015;sylvestris;2004;10 à 20 cm
134;1;1;0;1;0;1;xTxK;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir incertain;Arbre adulte;1916041.2;4222649.0;2014;chrysocoma;2004;50 à 60 cm
135;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914722.4;4224228.5;2015;acerifolia;2005;10 à 20 cm
136;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre adulte;1913299.1;4223446.5;2013;colurna;2004;20 à 30 cm
137;1;1;0;0;0;1;xxxK;vigueur intermédiaire;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir incertain;Arbre adulte;1913238.2;4225047.0;2014;platanoides;2004;20 à 30 cm
138;1;1;1;0;0;1;RxxK;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1915652.0;4224251.0;2014;styraciflua;2004;20 à 30 cm
139;1;1;0;1;1;1;xTCK;vieillissement dépérissement;passages fréquents et arrêts fréquents;oui;true;Arbre à abattre dans les 5 ans;Arbre vieillissant;1913420.9;4225308.0;2015;acerifolia;2004;70 à 80 cm
