id;measure_date;station_name;unity;family_name;pollution_name;measure_value
61;2004-02-01;Grenoble Grands Boulevards;microg/m3;En continu;Dioxyde d'azote;-1
62;2004-02-01;Grenoble Grands Boulevards;microg/m3;En continu;Monoxyde d'azote;-1
63;2004-02-01;Grenoble Grands Boulevards;microg/m3;En continu;Particules PM10;-1
64;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Antimoine;-1
65;2004-02-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Arsenic;-1
66;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Baryum;-1
67;2004-02-01;Grenoble les Frenes;microg/m3;Volatil;Benzène;-1
68;2004-02-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
69;2004-02-01;Grenoble les Frenes;nanog/m3;En différé;Benzo(a)pyrène;-1
70;2004-02-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
71;2004-02-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
72;2004-02-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
73;2004-02-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Cadmium;-1
74;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Chrome;-1
75;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cobalt;-1
76;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cuivre;-1
77;2004-02-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
78;2004-02-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde d'azote;45
79;2004-02-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde soufre;11
80;2004-02-01;Grenoble les Frenes;microg/m3;Volatil;EthylBenzene;-1
81;2004-02-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
82;2004-02-01;Grenoble les Frenes;microg/m3;Volatil;m+p-Xylène;-1
83;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Manganèse;-1
84;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Mercure;-1
85;2004-02-01;Grenoble les Frenes;microg/m3;En continu;Monoxyde d'azote;28
86;2004-02-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Nickel;-1
87;2004-02-01;Grenoble les Frenes;microg/m3;Volatil;o-Xylene;-1
88;2004-02-01;Grenoble les Frenes;microg/m3;En continu;Ozone;20
89;2004-02-01;Grenoble les Frenes;microg/m3;En continu;Particules PM10;-1
90;2004-02-01;Grenoble les Frenes;microg/m3;En continu;Particules PM2,5;-1
91;2004-02-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Plomb;-1
92;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Thallium;-1
93;2004-02-01;Grenoble les Frenes;microg/m3;Volatil;Toluène;-1
94;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Vanadium;-1
95;2004-02-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Zinc;-1
96;2004-02-01;Grenoble Rocade Sud;microg/m3;Volatil;Benzène;3
97;2004-02-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
98;2004-02-01;Grenoble Rocade Sud;nanog/m3;En différé;Benzo(a)pyrène;-1
99;2004-02-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
100;2004-02-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
101;2004-02-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
102;2004-02-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
103;2004-02-01;Grenoble Rocade Sud;microg/m3;En continu;Dioxyde d'azote;60
104;2004-02-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
105;2004-02-01;Grenoble Rocade Sud;microg/m3;En continu;Monoxyde d'azote;97
106;2004-02-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM10;-1
107;2004-02-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM2,5;-1
108;2004-02-01;Grenoble Rocade Sud;microg/m3;Volatil;Toluène;23,8
109;2004-02-01;Saint-Martin d'Heres;microg/m3;En continu;Dioxyde d'azote;45
110;2004-02-01;Saint-Martin d'Heres;microg/m3;En continu;Monoxyde d'azote;60
111;2004-02-01;Saint-Martin d'Heres;microg/m3;En continu;Ozone;16
112;2004-02-01;Saint-Martin d'Heres;microg/m3;En continu;Particules PM10;-1
113;2004-03-01;Fontaine les Balmes;microg/m3;En continu;Dioxyde d'azote;37
114;2004-03-01;Fontaine les Balmes;microg/m3;En continu;Monoxyde d'azote;8
115;2004-03-01;Fontaine les Balmes;microg/m3;En continu;Ozone;50
116;2004-03-01;Fontaine les Balmes;microg/m3;En continu;Particules PM10;-1
117;2004-03-01;Grenoble Grands Boulevards;microg/m3;En continu;Dioxyde d'azote;-1
118;2004-03-01;Grenoble Grands Boulevards;microg/m3;En continu;Monoxyde d'azote;-1
119;2004-03-01;Grenoble Grands Boulevards;microg/m3;En continu;Particules PM10;-1
120;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Antimoine;-1
121;2004-03-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Arsenic;-1
122;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Baryum;-1
123;2004-03-01;Grenoble les Frenes;microg/m3;Volatil;Benzène;-1
124;2004-03-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
125;2004-03-01;Grenoble les Frenes;nanog/m3;En différé;Benzo(a)pyrène;-1
126;2004-03-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
127;2004-03-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
128;2004-03-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
129;2004-03-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Cadmium;-1
130;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Chrome;-1
131;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cobalt;-1
132;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cuivre;-1
133;2004-03-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
134;2004-03-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde d'azote;36
135;2004-03-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde soufre;6
136;2004-03-01;Grenoble les Frenes;microg/m3;Volatil;EthylBenzene;-1
137;2004-03-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
138;2004-03-01;Grenoble les Frenes;microg/m3;Volatil;m+p-Xylène;-1
139;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Manganèse;-1
140;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Mercure;-1
141;2004-03-01;Grenoble les Frenes;microg/m3;En continu;Monoxyde d'azote;9
142;2004-03-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Nickel;-1
143;2004-03-01;Grenoble les Frenes;microg/m3;Volatil;o-Xylene;-1
144;2004-03-01;Grenoble les Frenes;microg/m3;En continu;Ozone;40
145;2004-03-01;Grenoble les Frenes;microg/m3;En continu;Particules PM10;-1
146;2004-03-01;Grenoble les Frenes;microg/m3;En continu;Particules PM2,5;-1
147;2004-03-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Plomb;-1
148;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Thallium;-1
149;2004-03-01;Grenoble les Frenes;microg/m3;Volatil;Toluène;-1
150;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Vanadium;-1
151;2004-03-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Zinc;-1
152;2004-03-01;Grenoble Rocade Sud;microg/m3;Volatil;Benzène;2,1
153;2004-03-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
154;2004-03-01;Grenoble Rocade Sud;nanog/m3;En différé;Benzo(a)pyrène;-1
155;2004-03-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
156;2004-03-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
157;2004-03-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
158;2004-03-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
159;2004-03-01;Grenoble Rocade Sud;microg/m3;En continu;Dioxyde d'azote;59
160;2004-03-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
161;2004-03-01;Grenoble Rocade Sud;microg/m3;En continu;Monoxyde d'azote;72
162;2004-03-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM10;-1
163;2004-03-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM2,5;-1
164;2004-03-01;Grenoble Rocade Sud;microg/m3;Volatil;Toluène;15,6
165;2004-03-01;Saint-Martin d'Heres;microg/m3;En continu;Dioxyde d'azote;38
166;2004-03-01;Saint-Martin d'Heres;microg/m3;En continu;Monoxyde d'azote;19
167;2004-03-01;Saint-Martin d'Heres;microg/m3;En continu;Ozone;41
168;2004-03-01;Saint-Martin d'Heres;microg/m3;En continu;Particules PM10;-1
169;2004-04-01;Fontaine les Balmes;microg/m3;En continu;Dioxyde d'azote;26
170;2004-04-01;Fontaine les Balmes;microg/m3;En continu;Monoxyde d'azote;3
171;2004-04-01;Fontaine les Balmes;microg/m3;En continu;Ozone;62
172;2004-04-01;Fontaine les Balmes;microg/m3;En continu;Particules PM10;-1
173;2004-04-01;Grenoble Grands Boulevards;microg/m3;En continu;Dioxyde d'azote;-1
174;2004-04-01;Grenoble Grands Boulevards;microg/m3;En continu;Monoxyde d'azote;-1
175;2004-04-01;Grenoble Grands Boulevards;microg/m3;En continu;Particules PM10;-1
176;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Antimoine;-1
177;2004-04-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Arsenic;-1
178;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Baryum;-1
179;2004-04-01;Grenoble les Frenes;microg/m3;Volatil;Benzène;-1
180;2004-04-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
181;2004-04-01;Grenoble les Frenes;nanog/m3;En différé;Benzo(a)pyrène;-1
182;2004-04-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
183;2004-04-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
184;2004-04-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
185;2004-04-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Cadmium;-1
186;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Chrome;-1
187;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cobalt;-1
188;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cuivre;-1
189;2004-04-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
190;2004-04-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde d'azote;25
191;2004-04-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde soufre;-1
192;2004-04-01;Grenoble les Frenes;microg/m3;Volatil;EthylBenzene;-1
193;2004-04-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
194;2004-04-01;Grenoble les Frenes;microg/m3;Volatil;m+p-Xylène;-1
195;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Manganèse;-1
196;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Mercure;-1
197;2004-04-01;Grenoble les Frenes;microg/m3;En continu;Monoxyde d'azote;4
198;2004-04-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Nickel;-1
199;2004-04-01;Grenoble les Frenes;microg/m3;Volatil;o-Xylene;-1
200;2004-04-01;Grenoble les Frenes;microg/m3;En continu;Ozone;56
201;2004-04-01;Grenoble les Frenes;microg/m3;En continu;Particules PM10;-1
202;2004-04-01;Grenoble les Frenes;microg/m3;En continu;Particules PM2,5;-1
203;2004-04-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Plomb;-1
204;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Thallium;-1
205;2004-04-01;Grenoble les Frenes;microg/m3;Volatil;Toluène;-1
206;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Vanadium;-1
207;2004-04-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Zinc;-1
208;2004-04-01;Grenoble Rocade Sud;microg/m3;Volatil;Benzène;1,4
209;2004-04-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
210;2004-04-01;Grenoble Rocade Sud;nanog/m3;En différé;Benzo(a)pyrène;-1
211;2004-04-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
212;2004-04-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
213;2004-04-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
214;2004-04-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
215;2004-04-01;Grenoble Rocade Sud;microg/m3;En continu;Dioxyde d'azote;50
216;2004-04-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
217;2004-04-01;Grenoble Rocade Sud;microg/m3;En continu;Monoxyde d'azote;56
218;2004-04-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM10;-1
219;2004-04-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM2,5;-1
220;2004-04-01;Grenoble Rocade Sud;microg/m3;Volatil;Toluène;11,6
221;2004-04-01;Saint-Martin d'Heres;microg/m3;En continu;Dioxyde d'azote;30
222;2004-04-01;Saint-Martin d'Heres;microg/m3;En continu;Monoxyde d'azote;7
223;2004-04-01;Saint-Martin d'Heres;microg/m3;En continu;Ozone;52
224;2004-04-01;Saint-Martin d'Heres;microg/m3;En continu;Particules PM10;-1
225;2004-05-01;Fontaine les Balmes;microg/m3;En continu;Dioxyde d'azote;20
226;2004-05-01;Fontaine les Balmes;microg/m3;En continu;Monoxyde d'azote;2
227;2004-05-01;Fontaine les Balmes;microg/m3;En continu;Ozone;76
228;2004-05-01;Fontaine les Balmes;microg/m3;En continu;Particules PM10;-1
229;2004-05-01;Grenoble Grands Boulevards;microg/m3;En continu;Dioxyde d'azote;-1
230;2004-05-01;Grenoble Grands Boulevards;microg/m3;En continu;Monoxyde d'azote;-1
231;2004-05-01;Grenoble Grands Boulevards;microg/m3;En continu;Particules PM10;-1
232;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Antimoine;-1
233;2004-05-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Arsenic;-1
234;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Baryum;-1
235;2004-05-01;Grenoble les Frenes;microg/m3;Volatil;Benzène;-1
236;2004-05-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
237;2004-05-01;Grenoble les Frenes;nanog/m3;En différé;Benzo(a)pyrène;-1
238;2004-05-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
239;2004-05-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
240;2004-05-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
241;2004-05-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Cadmium;-1
242;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Chrome;-1
243;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cobalt;-1
244;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cuivre;-1
245;2004-05-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
246;2004-05-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde d'azote;21
247;2004-05-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde soufre;4
248;2004-05-01;Grenoble les Frenes;microg/m3;Volatil;EthylBenzene;-1
249;2004-05-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
250;2004-05-01;Grenoble les Frenes;microg/m3;Volatil;m+p-Xylène;-1
251;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Manganèse;-1
252;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Mercure;-1
253;2004-05-01;Grenoble les Frenes;microg/m3;En continu;Monoxyde d'azote;2
254;2004-05-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Nickel;-1
255;2004-05-01;Grenoble les Frenes;microg/m3;Volatil;o-Xylene;-1
256;2004-05-01;Grenoble les Frenes;microg/m3;En continu;Ozone;70
257;2004-05-01;Grenoble les Frenes;microg/m3;En continu;Particules PM10;-1
258;2004-05-01;Grenoble les Frenes;microg/m3;En continu;Particules PM2,5;-1
259;2004-05-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Plomb;-1
260;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Thallium;-1
261;2004-05-01;Grenoble les Frenes;microg/m3;Volatil;Toluène;-1
262;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Vanadium;-1
263;2004-05-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Zinc;-1
264;2004-05-01;Grenoble Rocade Sud;microg/m3;Volatil;Benzène;0,9
265;2004-05-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
266;2004-05-01;Grenoble Rocade Sud;nanog/m3;En différé;Benzo(a)pyrène;-1
267;2004-05-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
268;2004-05-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
269;2004-05-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
270;2004-05-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
271;2004-05-01;Grenoble Rocade Sud;microg/m3;En continu;Dioxyde d'azote;50
272;2004-05-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
273;2004-05-01;Grenoble Rocade Sud;microg/m3;En continu;Monoxyde d'azote;47
274;2004-05-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM10;-1
275;2004-05-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM2,5;-1
276;2004-05-01;Grenoble Rocade Sud;microg/m3;Volatil;Toluène;8,9
277;2004-05-01;Saint-Martin d'Heres;microg/m3;En continu;Dioxyde d'azote;23
278;2004-05-01;Saint-Martin d'Heres;microg/m3;En continu;Monoxyde d'azote;3
279;2004-05-01;Saint-Martin d'Heres;microg/m3;En continu;Ozone;62
280;2004-05-01;Saint-Martin d'Heres;microg/m3;En continu;Particules PM10;-1
281;2004-06-01;Fontaine les Balmes;microg/m3;En continu;Dioxyde d'azote;-1
282;2004-06-01;Fontaine les Balmes;microg/m3;En continu;Monoxyde d'azote;-1
283;2004-06-01;Fontaine les Balmes;microg/m3;En continu;Ozone;77
284;2004-06-01;Fontaine les Balmes;microg/m3;En continu;Particules PM10;-1
285;2004-06-01;Grenoble Grands Boulevards;microg/m3;En continu;Dioxyde d'azote;-1
286;2004-06-01;Grenoble Grands Boulevards;microg/m3;En continu;Monoxyde d'azote;-1
287;2004-06-01;Grenoble Grands Boulevards;microg/m3;En continu;Particules PM10;-1
288;2004-06-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Antimoine;-1
289;2004-06-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Arsenic;-1
290;2004-06-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Baryum;-1
291;2004-06-01;Grenoble les Frenes;microg/m3;Volatil;Benzène;-1
292;2004-06-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
293;2004-06-01;Grenoble les Frenes;nanog/m3;En différé;Benzo(a)pyrène;-1
294;2004-06-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
295;2004-06-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
296;2004-06-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
297;2004-06-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Cadmium;-1
298;2004-06-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Chrome;-1
299;2004-06-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cobalt;-1
300;2004-06-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cuivre;-1
301;2004-06-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
302;2004-06-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde d'azote;20
303;2004-06-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde soufre;2
304;2004-06-01;Grenoble les Frenes;microg/m3;Volatil;EthylBenzene;-1
305;2004-06-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
