ID;species;genus;seedingYear;seeding5YearPeriod;sidewalkProximity;environmentBusyness;vigor
71;robur;Quercus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
72;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
73;domestica;Malus;2015;2015;non;passages fréquents ou arrêts;vigoureux
74;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
75;cappadocicum;Acer;2014;2010;oui;passages fréquents ou arrêts;vigoureux
76;australis;Celtis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
77;cappadocicum;Acer;2008;2005;non;passages fréquents et arrêts fréquents;vigoureux
78;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
79;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
80;serrulata;Prunus;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux
81;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
82;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
83;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
84;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
85;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
86;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
87;tulipifera;Liriodendron;2014;2010;non;passages fréquents ou arrêts;vigoureux
88;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
89;hippocastanum;Aesculus;2011;2010;oui;passages fréquents et arrêts fréquents;vigoureux
90;cappadocicum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
91;sylvestris;Pinus;2014;2010;non;passages fréquents ou arrêts;vigoureux
92;utilis;Betula;2011;2010;oui;passages fréquents et arrêts fréquents;vigoureux
93;excelsior;Fraxinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
94;altissima;Ailanthus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
95;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
96;serrulata;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
97;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
98;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux
99;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
100;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
101;campestre;Acer;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux
102;nigra;Pinus;2012;2010;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
103;grandiflora;Magnolia;2011;2010;non;passages fréquents et arrêts fréquents;vigoureux
104;hippocastanum;Aesculus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
105;indica;Lagerstroemia;2004;2000;non;passages fréquents ou arrêts;vigoureux
106;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement
107;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
108;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
109;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
110;excelsior;Fraxinus;2004;2000;oui;passages fréquents ou arrêts;vigoureux
111;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
112;siliquastrum;Cercis;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
113;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents ou arrêts;vigoureux
114;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
115;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
116;hippocastanum;Aesculus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
117;exelsa;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
118;saccharinum;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
119;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
120;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
121;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
122;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
123;nigra;Juglans;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
124;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
125;grandiflora;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
126;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
127;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
128;styraciflua;Liquidambar;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
129;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
130;occidentalis;Celtis;2004;2000;non;passages fréquents ou arrêts;vigoureux
131;australis;Celtis;2004;2000;non;passages fréquents ou arrêts;vigoureux
132;babylonica;Salix;2014;2010;non;passages fréquents ou arrêts;vigoureux
133;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
134;chrysocoma;Salix;2004;2000;non;passages fréquents ou arrêts;vigoureux
135;acerifolia;Platanus;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux
136;colurna;Corylus;2004;2000;non;passages fréquents ou arrêts;vigoureux
137;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
138;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
139;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement
140;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
141;sempervirens;Cupressus;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
142;betulus;Carpinus;2004;2000;oui;passages fréquents ou arrêts;vigoureux
143;hippocastanum;Aesculus;2010;2010;oui;passages fréquents et arrêts fréquents;vigoureux
144;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
145;spaitii;Alnus;2014;2010;non;passages fréquents ou arrêts;vigoureux
146;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
147;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
148;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
149;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
150;americana;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
151;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
152;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
153;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
154;alba;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
155;negundo;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
156;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
157;cerris;Quercus;2011;2010;non;passages fréquents et arrêts fréquents;vigoureux
158;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
159;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
160;platanoides;Acer;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
161;campestris;Acer;2005;2005;non;passages fréquents ou arrêts;vigoureux
162;tomentosa;Tilia;2004;2000;non;passages fréquents ou arrêts;vigoureux
163;N/A;Thuja;2006;2005;non;passages fréquents et arrêts fréquents;vigoureux
164;sylvestris;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
165;N/A;Fraxinus;2013;2010;non;passages fréquents ou arrêts;vigoureux
166;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
167;abies;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
168;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
169;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
170;acerifolia;Platanus;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
171;N/A;Fraxinus;2006;2005;non;passages fréquents et arrêts fréquents;vigoureux
172;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
173;pseudoplatanus;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
174;N/A;Fraxinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
175;kagayamae;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
176;ornus;Fraxinus;2013;2010;oui;passages fréquents ou arrêts;vigoureux
177;cordata;Alnus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
178;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
179;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
180;cappadocicum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
181;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
182;regia;Juglans;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
183;alba;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
184;carnea;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
185;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
186;tomentosa;Paulownia;2014;2010;non;passages fréquents ou arrêts;vigoureux
187;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
188;pseudoacacia;Robinia;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
189;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
190;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
191;alba;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux
192;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
193;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
194;robur;Quercus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
195;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
196;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
197;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
198;excelsior;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
199;japonicum;ligustrum;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
200;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
201;utilis;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
202;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
203;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
204;ornus;Fraxinus;2014;2010;non;passages fréquents ou arrêts;vigoureux
205;serrulata;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
206;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
207;grandiflora;Magnolia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
208;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
209;atlantica;Cedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
210;cordata;Alnus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
211;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
212;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
213;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
214;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
215;orientalis;Platanus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
216;nigra;Pinus;2008;2005;oui;passages fréquents ou arrêts;vigoureux
217;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
218;N/A;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
219;acerifolia;Platanus;2013;2010;non;passages fréquents et arrêts fréquents;vigoureux
220;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux
221;tomentosa;Tilia;2004;2000;non;passages fréquents ou arrêts;vigoureux
222;suber;Quercus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
223;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
224;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
225;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
226;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
227;australis;Celtis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
228;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
229;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
230;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
231;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
232;floribunda;Malus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
233;N/A;Prunus;2014;2010;non;passages fréquents ou arrêts;vigoureux
234;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
235;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
236;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
237;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
238;N/A;Fraxinus;2013;2010;non;passages fréquents ou arrêts;vigoureux
239;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
240;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
241;serrulata;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
242;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
243;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
244;acerifolia;Platanus;2004;2000;non;passages fréquents ou arrêts;vigoureux
245;bignonoides;Catalpa;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
246;tartarica;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
247;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
248;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
249;tulipifera;Liriodendron;2009;2005;non;passages fréquents ou arrêts;vigoureux
250;castaneifolia;Quercus;2013;2010;oui;passages fréquents ou arrêts;vigoureux
251;angustifolia;Eleagnus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
252;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
253;regia;Juglans;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
254;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
255;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
256;triacanthos;Gleditsia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
257;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
258;platanoides;Acer;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
259;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
260;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
261;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
262;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
263;altissima;Ailanthus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
264;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
265;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
266;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
267;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
268;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
269;avium;Prunus;2013;2010;non;passages fréquents ou arrêts;vigoureux
270;saccharinum;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
271;robur;Quercus;2004;2000;non;quelques passages;vigueur intermédiaire
272;cordata;Tilia;2006;2005;non;passages fréquents et arrêts fréquents;vigoureux
273;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
274;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
275;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
276;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
277;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
278;triacanthos;Gleditsia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
279;nigra;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
280;alba;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
281;platanoides;Acer;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
282;atlantica;Cedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
283;utilis;Betula;2011;2010;oui;passages fréquents et arrêts fréquents;vigoureux
284;leylandii;Cupressocyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
285;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
286;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
287;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
288;leylandii;Cupressocyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
289;calleryana;Pyrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
290;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
291;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
292;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
293;nordmaniana;Abies;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
294;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux
295;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
296;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
297;tulipifera;Liriodendron;2014;2010;non;passages fréquents ou arrêts;vigoureux
298;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
299;hippocastanum;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
300;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
301;bumalda;Staphylea;2014;2010;non;passages fréquents ou arrêts;vigoureux
302;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
303;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
304;N/A;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
305;N/A;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
306;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
307;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
308;colurna;Corylus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
309;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
310;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
311;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
312;N/A;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
313;sylvestris;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
314;platanoides;Acer;2004;2000;oui;passages fréquents ou arrêts;vigoureux
315;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux
316;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
317;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
318;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
319;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
320;ceracifera;Prunus;2004;2000;non;passages fréquents ou arrêts;vigoureux
321;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
322;cappadocicum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
323;excelsior;Fraxinus;2004;2000;oui;passages fréquents ou arrêts;vigoureux
324;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
