ID;isLast;diagnosisYear;diagnosis5YearPeriod;diagnosisNote;developmentStatus
65;false;2015;2015;Arbre d'avenir normal;Arbre adulte
66;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
67;false;2014;2010;Arbre d'avenir normal;Arbre jeune
68;false;2013;2010;Arbre d'avenir normal;Arbre adulte
69;false;2014;2010;Arbre d'avenir normal;Arbre adulte
70;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
71;false;2014;2010;Arbre d'avenir normal;Arbre adulte
72;false;2014;2010;Arbre d'avenir normal;Arbre adulte
73;false;2015;2015;Arbre d'avenir normal;Arbre jeune
74;false;2013;2010;Arbre d'avenir normal;Arbre adulte
75;false;2014;2010;Arbre d'avenir normal;Arbre jeune
76;false;2013;2010;Arbre d'avenir normal;Arbre adulte
77;false;2015;2015;Arbre d'avenir normal;Arbre jeune
78;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
79;false;2013;2010;Arbre d'avenir normal;Arbre adulte
80;false;2015;2015;Arbre d'avenir normal;Arbre jeune
81;false;2015;2015;Arbre d'avenir normal;Arbre adulte
82;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
83;false;2013;2010;Arbre d'avenir normal;Arbre adulte
84;false;2013;2010;Arbre d'avenir normal;Arbre adulte
85;false;2013;2010;Arbre d'avenir normal;Arbre adulte
86;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
87;false;2014;2010;Arbre d'avenir normal;Arbre jeune
88;false;2014;2010;Arbre d'avenir normal;Arbre adulte
89;false;2015;2015;Arbre d'avenir normal;Arbre adulte
90;false;2015;2015;Arbre d'avenir normal;Arbre adulte
91;false;2014;2010;Arbre d'avenir normal;Arbre jeune
92;false;2015;2015;Arbre d'avenir normal;Arbre adulte
93;false;2013;2010;Arbre d'avenir normal;Arbre adulte
94;false;2015;2015;Arbre d'avenir normal;Arbre adulte
95;false;2014;2010;Arbre d'avenir normal;Arbre adulte
96;false;2013;2010;Arbre d'avenir normal;Arbre adulte
97;false;2014;2010;Arbre d'avenir normal;Arbre adulte
98;false;2015;2015;Arbre d'avenir normal;Arbre jeune
99;false;2013;2010;Arbre d'avenir normal;Arbre adulte
100;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
101;false;2015;2015;Arbre d'avenir normal;Arbre jeune
102;false;2013;2010;Arbre d'avenir normal;Arbre adulte
103;false;2014;2010;Arbre d'avenir normal;Arbre adulte
104;false;2013;2010;Arbre d'avenir normal;Arbre adulte
105;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
106;false;2015;2015;Arbre à abattre immédiatement;Arbre adulte
107;false;2014;2010;Arbre d'avenir normal;Arbre adulte
108;false;2015;2015;Arbre d'avenir normal;Arbre adulte
109;false;2013;2010;Arbre d'avenir normal;Arbre adulte
110;false;2015;2015;Arbre d'avenir normal;Arbre adulte
111;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
112;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
113;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
114;false;2014;2010;Arbre d'avenir normal;Arbre adulte
115;false;2013;2010;Arbre d'avenir normal;Arbre adulte
116;false;2014;2010;Arbre d'avenir normal;Arbre jeune
117;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
118;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
119;false;2015;2015;Arbre d'avenir normal;Arbre adulte
120;false;2013;2010;Arbre d'avenir normal;Arbre adulte
121;false;2015;2015;Arbre d'avenir normal;Arbre adulte
122;false;2015;2015;Arbre d'avenir normal;Arbre jeune
123;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
124;false;2014;2010;Arbre d'avenir normal;Arbre jeune
125;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
126;false;2015;2015;Arbre d'avenir normal;Arbre adulte
127;false;2013;2010;Arbre d'avenir normal;Arbre adulte
128;false;2015;2015;Arbre d'avenir incertain;Arbre jeune
129;false;2014;2010;Arbre d'avenir normal;Arbre adulte
130;false;2013;2010;Arbre d'avenir normal;Arbre adulte
131;false;2013;2010;Arbre d'avenir normal;Arbre adulte
132;false;2014;2010;Arbre d'avenir normal;Arbre jeune
133;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
134;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
135;false;2015;2015;Arbre d'avenir normal;Arbre adulte
136;false;2013;2010;Arbre d'avenir normal;Arbre adulte
137;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
138;false;2014;2010;Arbre d'avenir normal;Arbre adulte
139;false;2015;2015;Arbre à abattre dans les 5 ans;Arbre vieillissant
140;false;2014;2010;Arbre à abattre dans les 5 ans;Arbre adulte
141;false;2014;2010;Arbre d'avenir normal;Arbre jeune
142;false;2015;2015;Arbre d'avenir normal;Arbre adulte
143;false;2015;2015;Arbre d'avenir normal;Arbre adulte
144;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
145;false;2014;2010;Arbre d'avenir normal;Arbre jeune
146;false;2015;2015;Arbre d'avenir normal;Arbre adulte
147;false;2013;2010;Arbre à abattre dans les 10 ans;Arbre adulte
148;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
149;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
150;false;2014;2010;Arbre d'avenir normal;Arbre adulte
151;false;2014;2010;Arbre d'avenir normal;Arbre adulte
152;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
153;false;2013;2010;Arbre d'avenir normal;Arbre adulte
154;false;2014;2010;Arbre d'avenir normal;Arbre adulte
155;false;2013;2010;Arbre d'avenir normal;Arbre adulte
156;false;2015;2015;Arbre d'avenir normal;Arbre adulte
157;false;2014;2010;Arbre d'avenir normal;Arbre jeune
158;false;2013;2010;Arbre d'avenir normal;Arbre adulte
159;false;2013;2010;Arbre d'avenir normal;Arbre adulte
160;false;2015;2015;Arbre d'avenir normal;Arbre jeune
161;false;2015;2015;Arbre d'avenir normal;Arbre adulte
162;false;2013;2010;Arbre d'avenir normal;Arbre adulte
163;false;2015;2015;Arbre d'avenir incertain;Arbre vieillissant
164;false;2015;2015;Arbre d'avenir normal;Arbre adulte
165;false;2013;2010;Arbre d'avenir normal;Arbre jeune
166;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
167;false;2014;2010;Arbre d'avenir normal;Arbre adulte
168;false;2014;2010;Arbre d'avenir normal;Arbre adulte
169;false;2013;2010;Arbre d'avenir normal;Arbre adulte
170;false;2015;2015;Arbre d'avenir normal;Arbre jeune
171;false;2013;2010;Arbre d'avenir normal;Arbre adulte
172;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
173;false;2013;2010;Arbre d'avenir normal;Arbre adulte
174;false;2011;2010;Arbre d'avenir normal;Arbre adulte
175;false;2014;2010;Arbre d'avenir normal;Arbre adulte
176;false;2013;2010;Arbre d'avenir normal;Arbre jeune
177;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
178;false;2013;2010;Arbre d'avenir normal;Arbre adulte
179;false;2015;2015;Arbre d'avenir normal;Arbre adulte
180;false;2015;2015;Arbre d'avenir normal;Arbre adulte
181;false;2014;2010;Arbre d'avenir normal;Arbre adulte
182;false;2015;2015;Arbre d'avenir normal;Arbre jeune
183;false;2015;2015;Arbre d'avenir incertain;Arbre vieillissant
184;false;2015;2015;Arbre à abattre dans les 5 ans;Arbre adulte
185;false;2014;2010;Arbre à abattre dans les 5 ans;Arbre adulte
186;false;2014;2010;Arbre d'avenir normal;Arbre jeune
187;false;2014;2010;Arbre d'avenir normal;Arbre jeune
188;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
189;false;2015;2015;Arbre d'avenir normal;Arbre jeune
190;false;2015;2015;Arbre d'avenir normal;Arbre adulte
191;false;2015;2015;Arbre d'avenir normal;Arbre adulte
192;false;2013;2010;Arbre d'avenir normal;Arbre adulte
193;false;2013;2010;Arbre d'avenir normal;Arbre adulte
194;false;2013;2010;Arbre d'avenir normal;Arbre adulte
195;false;2013;2010;Arbre d'avenir normal;Arbre adulte
196;false;2014;2010;Arbre d'avenir normal;Arbre adulte
197;false;2015;2015;Arbre d'avenir normal;Arbre adulte
198;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
199;false;2015;2015;Arbre à abattre dans les 5 ans;Arbre adulte
200;false;2014;2010;Arbre d'avenir normal;Arbre adulte
201;false;2015;2015;Arbre d'avenir normal;Arbre adulte
202;false;2014;2010;Arbre d'avenir normal;Arbre adulte
203;false;2015;2015;Arbre d'avenir normal;Arbre adulte
204;false;2014;2010;Arbre d'avenir normal;Arbre jeune
205;false;2015;2015;Arbre d'avenir normal;Arbre adulte
206;false;2013;2010;Arbre d'avenir normal;Arbre adulte
207;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
208;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
209;false;2013;2010;Arbre d'avenir normal;Arbre adulte
210;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
211;false;2014;2010;Arbre d'avenir normal;Arbre adulte
212;false;2015;2015;Arbre d'avenir normal;Arbre jeune
213;false;2014;2010;Arbre d'avenir normal;Arbre adulte
214;false;2014;2010;Arbre d'avenir normal;Arbre adulte
215;false;2014;2010;Arbre d'avenir normal;Arbre jeune
216;false;2014;2010;Arbre d'avenir normal;Arbre adulte
217;false;2015;2015;Arbre d'avenir normal;Arbre adulte
218;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
219;false;2013;2010;Arbre d'avenir normal;Arbre adulte
220;false;2015;2015;Arbre d'avenir normal;Arbre adulte
221;false;2013;2010;Arbre d'avenir normal;Arbre adulte
222;false;2014;2010;Arbre d'avenir normal;Arbre jeune
223;false;2015;2015;Arbre d'avenir normal;Arbre adulte
224;false;2014;2010;Arbre d'avenir normal;Arbre adulte
225;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
226;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
227;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
228;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
229;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
230;false;2015;2015;Arbre d'avenir normal;Arbre adulte
231;false;2013;2010;Arbre d'avenir normal;Arbre adulte
232;false;2014;2010;Arbre d'avenir normal;Arbre adulte
233;false;2014;2010;Arbre d'avenir normal;Arbre jeune
234;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
235;false;2015;2015;Unknown;Arbre adulte
236;false;2013;2010;Arbre d'avenir normal;Arbre adulte
237;false;2015;2015;Arbre d'avenir normal;Arbre adulte
238;false;2013;2010;Arbre d'avenir normal;Arbre jeune
239;false;2014;2010;Arbre d'avenir normal;Arbre adulte
240;false;2014;2010;Arbre d'avenir normal;Arbre adulte
241;false;2014;2010;Arbre d'avenir normal;Arbre adulte
242;false;2014;2010;Arbre d'avenir normal;Arbre adulte
243;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
244;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
245;false;2015;2015;Unknown;Arbre adulte
246;false;2015;2015;Arbre d'avenir normal;Arbre adulte
247;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
248;false;2015;2015;Arbre d'avenir normal;Arbre adulte
249;false;2013;2010;Arbre d'avenir normal;Arbre jeune
250;false;2013;2010;Arbre d'avenir normal;Arbre jeune
251;false;2015;2015;Unknown;Arbre adulte
252;false;2015;2015;Arbre d'avenir normal;Arbre adulte
253;false;2015;2015;Arbre d'avenir normal;Arbre jeune
254;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
255;false;2015;2015;Arbre d'avenir normal;Arbre adulte
256;false;2013;2010;Arbre d'avenir normal;Arbre adulte
257;false;2015;2015;Arbre d'avenir normal;Arbre adulte
258;false;2014;2010;Arbre d'avenir normal;Arbre jeune
259;false;2015;2015;Arbre d'avenir normal;Arbre jeune
260;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
261;false;2014;2010;Arbre d'avenir normal;Arbre adulte
262;false;2014;2010;Arbre d'avenir normal;Arbre adulte
263;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre vieillissant
264;false;2013;2010;Arbre d'avenir normal;Arbre adulte
265;false;2014;2010;Arbre à abattre dans les 10 ans;Arbre adulte
266;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
267;false;2015;2015;Arbre d'avenir normal;Arbre adulte
268;false;2013;2010;Arbre d'avenir normal;Arbre adulte
269;false;2013;2010;Arbre d'avenir normal;Arbre jeune
270;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
271;false;2013;2010;Arbre d'avenir normal;Arbre adulte
272;false;2013;2010;Arbre d'avenir normal;Arbre adulte
273;false;2013;2010;Arbre d'avenir normal;Arbre adulte
274;false;2013;2010;Arbre d'avenir normal;Arbre adulte
275;false;2013;2010;Arbre d'avenir normal;Arbre jeune
276;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
277;false;2014;2010;Arbre d'avenir normal;Arbre adulte
278;false;2013;2010;Arbre d'avenir normal;Arbre adulte
279;false;2013;2010;Arbre d'avenir normal;Arbre adulte
280;false;2014;2010;Arbre d'avenir normal;Arbre adulte
281;false;2015;2015;Arbre d'avenir normal;Arbre jeune
282;false;2014;2010;Arbre d'avenir normal;Arbre jeune
283;false;2015;2015;Arbre d'avenir normal;Arbre adulte
284;false;2014;2010;Arbre d'avenir normal;Arbre adulte
285;false;2013;2010;Arbre d'avenir normal;Arbre adulte
286;false;2014;2010;Arbre d'avenir normal;Arbre adulte
287;false;2013;2010;Arbre d'avenir normal;Arbre adulte
288;false;2014;2010;Arbre d'avenir normal;Arbre adulte
289;false;2015;2015;Arbre d'avenir normal;Arbre adulte
290;false;2013;2010;Arbre d'avenir normal;Arbre adulte
291;false;2013;2010;Arbre d'avenir normal;Arbre adulte
292;false;2014;2010;Arbre d'avenir normal;Arbre adulte
293;false;2014;2010;Arbre d'avenir normal;Arbre jeune
294;false;2015;2015;Arbre d'avenir normal;Arbre adulte
295;false;2013;2010;Arbre d'avenir normal;Arbre adulte
296;false;2013;2010;Arbre d'avenir normal;Arbre adulte
297;false;2014;2010;Arbre d'avenir normal;Arbre jeune
298;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
299;false;2014;2010;Arbre d'avenir normal;Arbre adulte
300;false;2015;2015;Arbre d'avenir normal;Arbre adulte
301;false;2014;2010;Arbre d'avenir normal;Arbre jeune
302;false;2013;2010;Arbre d'avenir normal;Arbre adulte
303;false;2013;2010;Arbre d'avenir normal;Arbre adulte
304;false;2015;2015;Arbre d'avenir normal;Arbre jeune
305;false;2015;2015;Arbre d'avenir normal;Arbre adulte
306;false;2015;2015;Arbre d'avenir normal;Arbre adulte
307;false;2014;2010;Arbre d'avenir normal;Arbre adulte
308;false;2013;2010;Arbre d'avenir normal;Arbre adulte
309;false;2013;2010;Arbre d'avenir normal;Arbre adulte
310;false;2014;2010;Arbre d'avenir normal;Arbre adulte
311;false;2014;2010;Arbre d'avenir normal;Arbre adulte
312;false;2015;2015;Arbre d'avenir normal;Arbre adulte
313;false;2015;2015;Arbre d'avenir normal;Arbre adulte
314;false;2015;2015;Arbre d'avenir normal;Arbre adulte
315;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
316;false;2013;2010;Arbre d'avenir normal;Arbre adulte
317;false;2014;2010;Arbre d'avenir normal;Arbre adulte
318;false;2014;2010;Arbre d'avenir normal;Arbre adulte
319;false;2015;2015;Arbre d'avenir incertain;Arbre jeune
320;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
321;false;2014;2010;Arbre d'avenir normal;Arbre adulte
322;false;2015;2015;Arbre d'avenir normal;Arbre jeune
323;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
324;false;2014;2010;Arbre d'avenir normal;Arbre adulte
325;false;2015;2015;Arbre d'avenir normal;Arbre jeune
326;false;2015;2015;Arbre d'avenir normal;Arbre adulte
327;false;2014;2010;Arbre d'avenir normal;Arbre adulte
328;false;2014;2010;Arbre d'avenir normal;Arbre adulte
329;false;2015;2015;Arbre d'avenir normal;Arbre adulte
330;false;2013;2010;Arbre d'avenir normal;Arbre adulte
331;false;2015;2015;Arbre d'avenir normal;Arbre jeune
332;false;2014;2010;Arbre d'avenir normal;Arbre adulte
333;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
334;false;2013;2010;Arbre d'avenir normal;Arbre jeune
335;false;2013;2010;Arbre d'avenir normal;Arbre adulte
336;false;2013;2010;Arbre d'avenir normal;Arbre adulte
337;false;2013;2010;Arbre d'avenir normal;Arbre adulte
338;false;2015;2015;Arbre d'avenir normal;Arbre jeune
339;false;2014;2010;Arbre d'avenir normal;Arbre adulte
340;false;2015;2015;Arbre d'avenir normal;Arbre adulte
341;false;2015;2015;Arbre d'avenir normal;Arbre adulte
342;false;2014;2010;Arbre d'avenir normal;Arbre jeune
343;false;2015;2015;Arbre d'avenir normal;Arbre adulte
344;false;2015;2015;Arbre d'avenir normal;Arbre adulte
345;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
346;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
347;false;2015;2015;Arbre d'avenir normal;Arbre adulte
348;false;2014;2010;Arbre d'avenir normal;Arbre adulte
349;false;2013;2010;Arbre d'avenir normal;Arbre adulte
350;false;2014;2010;Arbre d'avenir normal;Arbre adulte
351;false;2013;2010;Arbre d'avenir normal;Arbre adulte
352;false;2015;2015;Arbre d'avenir normal;Arbre adulte
353;false;2014;2010;Arbre à abattre dans les 5 ans;Arbre adulte
354;false;2014;2010;Arbre à abattre dans les 10 ans;Arbre adulte
355;false;2014;2010;Arbre d'avenir normal;Arbre adulte
356;false;2015;2015;Arbre d'avenir normal;Arbre jeune
357;false;2013;2010;Arbre d'avenir normal;Arbre adulte
358;false;2015;2015;Arbre d'avenir normal;Arbre jeune
359;false;2013;2010;Arbre d'avenir normal;Arbre adulte
360;false;2013;2010;Arbre d'avenir normal;Arbre adulte
361;false;2015;2015;Arbre d'avenir normal;Arbre jeune
362;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
363;false;2015;2015;Arbre d'avenir normal;Arbre adulte
364;false;2013;2010;Arbre d'avenir normal;Arbre adulte
365;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
366;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
367;false;2013;2010;Arbre d'avenir normal;Arbre adulte
368;false;2015;2015;Arbre d'avenir normal;Arbre adulte
369;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
370;false;2015;2015;Arbre d'avenir normal;Arbre jeune
371;false;2013;2010;Arbre d'avenir normal;Arbre adulte
372;false;2013;2010;Arbre à abattre dans les 5 ans;Arbre adulte
373;false;2013;2010;Arbre d'avenir normal;Arbre adulte
374;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
375;false;2015;2015;Arbre d'avenir normal;Arbre jeune
376;false;2015;2015;Arbre d'avenir normal;Arbre jeune
377;false;2014;2010;Arbre d'avenir normal;Arbre adulte
378;false;2014;2010;Arbre d'avenir normal;Arbre adulte
379;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
380;false;2014;2010;Arbre d'avenir normal;Arbre adulte
381;false;2013;2010;Arbre d'avenir normal;Arbre jeune
382;false;2015;2015;Arbre d'avenir normal;Arbre adulte
383;false;2014;2010;Arbre d'avenir normal;Arbre adulte
384;false;2013;2010;Arbre d'avenir normal;Arbre jeune
385;false;2013;2010;Arbre d'avenir normal;Arbre adulte
386;false;2014;2010;Arbre d'avenir normal;Arbre adulte
387;false;2013;2010;Arbre d'avenir normal;Arbre adulte
388;false;2015;2015;Arbre d'avenir normal;Arbre adulte
389;false;2014;2010;Arbre d'avenir normal;Arbre adulte
390;false;2014;2010;Arbre d'avenir normal;Arbre jeune
391;false;2014;2010;Arbre à abattre dans les 5 ans;Arbre adulte
392;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
393;false;2014;2010;Arbre d'avenir normal;Arbre adulte
394;false;2013;2010;Arbre d'avenir normal;Arbre adulte
395;false;2014;2010;Arbre d'avenir normal;Arbre jeune
396;false;2015;2015;Arbre d'avenir normal;Arbre vieillissant
397;false;2014;2010;Arbre d'avenir normal;Arbre adulte
398;false;2014;2010;Arbre d'avenir normal;Arbre adulte
399;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
400;false;2013;2010;Arbre d'avenir normal;Arbre jeune
401;false;2013;2010;Arbre d'avenir normal;Arbre jeune
402;false;2014;2010;Arbre d'avenir normal;Arbre adulte
403;false;2014;2010;Arbre d'avenir normal;Arbre adulte
404;false;2014;2010;Arbre d'avenir normal;Arbre adulte
405;false;2014;2010;Arbre d'avenir normal;Arbre adulte
406;false;2014;2010;Arbre d'avenir normal;Arbre adulte
407;false;2015;2015;Arbre d'avenir normal;Arbre jeune
408;false;2013;2010;Arbre d'avenir normal;Arbre adulte
409;false;2013;2010;Arbre d'avenir normal;Arbre jeune
410;false;2013;2010;Arbre d'avenir normal;Arbre adulte
411;false;2015;2015;Arbre d'avenir normal;Arbre adulte
412;false;2015;2015;Arbre d'avenir normal;Arbre adulte
413;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
414;false;2015;2015;Arbre d'avenir normal;Arbre jeune
415;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
416;false;2014;2010;Arbre d'avenir normal;Arbre adulte
417;false;2013;2010;Arbre d'avenir normal;Arbre adulte
418;false;2013;2010;Arbre d'avenir normal;Arbre adulte
419;false;2015;2015;Arbre d'avenir normal;Arbre adulte
420;false;2014;2010;Arbre d'avenir normal;Arbre adulte
421;false;2015;2015;Arbre d'avenir incertain;Arbre jeune
422;false;2015;2015;Arbre à abattre dans les 5 ans;Arbre vieillissant
423;false;2015;2015;Arbre d'avenir normal;Arbre adulte
424;false;2013;2010;Arbre d'avenir normal;Arbre adulte
425;false;2013;2010;Arbre d'avenir incertain;Arbre jeune
426;false;2015;2015;Arbre d'avenir normal;Arbre adulte
427;false;2013;2010;Arbre d'avenir normal;Arbre jeune
428;false;2013;2010;Arbre d'avenir normal;Arbre adulte
429;false;2015;2015;Arbre d'avenir normal;Arbre adulte
430;false;2015;2015;Arbre d'avenir normal;Arbre adulte
431;false;2015;2015;Arbre d'avenir normal;Arbre adulte
432;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
433;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
434;false;2015;2015;Arbre d'avenir normal;Arbre adulte
435;false;2014;2010;Arbre d'avenir normal;Arbre jeune
436;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
437;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre adulte
438;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
439;false;2014;2010;Arbre d'avenir normal;Arbre jeune
440;false;2013;2010;Arbre d'avenir normal;Arbre adulte
441;false;2014;2010;Arbre d'avenir normal;Arbre adulte
442;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
443;false;2015;2015;Arbre d'avenir normal;Arbre adulte
444;false;2013;2010;Arbre d'avenir normal;Arbre adulte
445;false;2013;2010;Arbre d'avenir normal;Arbre adulte
446;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
447;false;2013;2010;Arbre d'avenir normal;Arbre jeune
448;false;2014;2010;Arbre d'avenir normal;Arbre jeune
449;false;2013;2010;Arbre d'avenir normal;Arbre adulte
450;false;2015;2015;Arbre d'avenir normal;Arbre adulte
451;false;2013;2010;Arbre d'avenir normal;Arbre adulte
452;false;2014;2010;Arbre d'avenir normal;Arbre adulte
453;false;2015;2015;Arbre d'avenir normal;Arbre adulte
454;false;2015;2015;Arbre d'avenir normal;Arbre adulte
455;false;2015;2015;Arbre d'avenir normal;Arbre adulte
456;false;2015;2015;Arbre d'avenir normal;Arbre adulte
