ID;species;genus;seedingYear;seeding5YearPeriod;sidewalkProximity;environmentBusyness;vigor;stumpDiameter;stumpDiameterGroup
25;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
26;arizonica;Cupressus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
27;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;100 à 110 cm;0
28;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
29;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
30;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
31;nigra;Pinus;2004;2000;non;quelques passages;Unknown;30 à 40 cm;0
32;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
33;carica;Ficus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
34;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;70 à 80 cm;0
35;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
36;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
37;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
38;australis;Celtis;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
39;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
40;Unknown;Carpinus;2005;2005;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
41;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
42;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
43;altissima;Ailanthus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
44;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
45;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
46;floribunda;Malus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
47;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
48;sempervirens;Cupressus;2004;2000;non;quelques passages;vigoureux;0 à 10 cm;0
49;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
50;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
51;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
52;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
53;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;80 à 90 cm;0
54;baccata;Taxus;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
55;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
56;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
57;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
58;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
59;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement;80 à 90 cm;0
60;tomentosa;Paulownia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
61;pseudoplatanus;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;80 à 90 cm;0
62;americana;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
63;bombycis;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
64;platanor;Platanus;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
65;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
66;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
67;ornus;Fraxinus;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
68;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
69;cordata;Alnus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
70;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
71;robur;Quercus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
72;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
73;domestica;Malus;2015;2015;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
74;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
75;cappadocicum;Acer;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
76;australis;Celtis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
77;cappadocicum;Acer;2008;2005;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
78;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
79;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
80;serrulata;Prunus;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
81;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
82;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement;30 à 40 cm;0
83;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
84;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
85;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
86;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;70 à 80 cm;0
87;tulipifera;Liriodendron;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
88;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
89;hippocastanum;Aesculus;2011;2010;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
90;cappadocicum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
91;sylvestris;Pinus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
92;utilis;Betula;2011;2010;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
93;excelsior;Fraxinus;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
94;altissima;Ailanthus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
95;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
96;serrulata;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
97;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
98;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
99;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
100;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
101;campestre;Acer;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
102;nigra;Pinus;2012;2010;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
103;grandiflora;Magnolia;2011;2010;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
104;hippocastanum;Aesculus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
105;indica;Lagerstroemia;2004;2000;non;passages fréquents ou arrêts;vigoureux;0 à 10 cm;0
106;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement;30 à 40 cm;0
107;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
108;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
109;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
110;excelsior;Fraxinus;2004;2000;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
111;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
112;siliquastrum;Cercis;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;20 à 30 cm;0
113;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
114;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
115;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
116;hippocastanum;Aesculus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
117;exelsa;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;40 à 50 cm;0
118;saccharinum;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;30 à 40 cm;0
119;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
120;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;80 à 90 cm;0
121;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
122;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
123;nigra;Juglans;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
124;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
125;grandiflora;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
126;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
127;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
128;styraciflua;Liquidambar;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
129;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
130;occidentalis;Celtis;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
131;australis;Celtis;2004;2000;non;passages fréquents ou arrêts;vigoureux;50 à 60 cm;0
132;babylonica;Salix;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
133;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
134;chrysocoma;Salix;2004;2000;non;passages fréquents ou arrêts;vigoureux;50 à 60 cm;0
135;acerifolia;Platanus;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
136;colurna;Corylus;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
137;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
138;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
139;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement;70 à 80 cm;0
140;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;70 à 80 cm;0
141;sempervirens;Cupressus;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
142;betulus;Carpinus;2004;2000;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
143;hippocastanum;Aesculus;2010;2010;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
144;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
145;spaitii;Alnus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
146;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
147;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
148;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
149;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
150;americana;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
151;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;70 à 80 cm;0
152;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
153;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
154;alba;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;110 à 120 cm;0
155;negundo;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
156;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
157;cerris;Quercus;2011;2010;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
158;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
159;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
160;platanoides;Acer;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
161;campestris;Acer;2005;2005;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
162;tomentosa;Tilia;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
163;Unknown;Thuja;2006;2005;non;passages fréquents et arrêts fréquents;vigoureux;80 à 90 cm;0
164;sylvestris;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;10 à 20 cm;0
165;Unknown;Fraxinus;2013;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
166;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
167;abies;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
168;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
169;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
170;acerifolia;Platanus;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
171;Unknown;Fraxinus;2006;2005;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
172;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
173;pseudoplatanus;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
174;Unknown;Fraxinus;2004;2000;non;passages fréquents ou arrêts;vigoureux;50 à 60 cm;0
175;kagayamae;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
176;ornus;Fraxinus;2013;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
177;cordata;Alnus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
178;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
179;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
180;cappadocicum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
181;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
182;regia;Juglans;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
183;alba;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
184;carnea;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
185;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
186;tomentosa;Paulownia;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
187;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
188;pseudoacacia;Robinia;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;40 à 50 cm;0
189;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
190;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;80 à 90 cm;0
191;alba;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
192;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
193;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
194;robur;Quercus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;40 à 50 cm;0
195;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
196;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
197;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
198;excelsior;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
199;japonicum;ligustrum;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement;0 à 10 cm;0
200;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
201;utilis;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
202;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
203;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;30 à 40 cm;0
204;ornus;Fraxinus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
205;serrulata;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
206;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;30 à 40 cm;0
207;grandiflora;Magnolia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
208;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
209;atlantica;Cedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
210;cordata;Alnus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement;10 à 20 cm;0
211;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
212;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
213;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
214;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
215;orientalis;Platanus;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
216;nigra;Pinus;2008;2005;oui;passages fréquents ou arrêts;vigoureux;30 à 40 cm;0
217;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
218;Unknown;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
219;acerifolia;Platanus;2013;2010;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
220;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
221;tomentosa;Tilia;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
222;suber;Quercus;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
223;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
224;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;100 à 110 cm;0
225;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;50 à 60 cm;0
226;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;70 à 80 cm;0
227;australis;Celtis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
228;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
229;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
230;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
231;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
232;floribunda;Malus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
233;Unknown;Prunus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
234;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
235;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement;10 à 20 cm;0
236;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
237;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
238;Unknown;Fraxinus;2013;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
239;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
240;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
241;serrulata;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
242;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;40 à 50 cm;0
243;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
244;acerifolia;Platanus;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
245;bignonoides;Catalpa;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
246;tartarica;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;0 à 10 cm;0
247;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
248;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
249;tulipifera;Liriodendron;2009;2005;non;passages fréquents ou arrêts;vigoureux;0 à 10 cm;0
250;castaneifolia;Quercus;2013;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
251;angustifolia;Eleagnus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
252;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;20 à 30 cm;0
253;regia;Juglans;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
254;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;60 à 70 cm;0
255;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
256;triacanthos;Gleditsia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
257;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
